2026-03-02 18:35:14,013 | DEBUG    | soap_generator | _ground_one:4125 |    🔍 Grounding entity 6: 'exotic pump'
2026-03-02 18:35:14,013 | INFO     | soap_generator | process_single_entity_async:708 | 🔍 [ASYNC] PROCESSING ENTITY 6/8: 'exotic pump'
2026-03-02 18:35:14,046 | INFO     | soap_generator | process_single_entity_async:709 |    Kind: Medication, KB Kind: Medication, Source: N/A
2026-03-02 18:35:14,047 | INFO     | soap_generator | process_transcription:2833 | Transcription loaded: 624 characters
2026-03-02 18:35:14,047 | INFO     | soap_generator | process_transcription:2838 | Loading optional input files in parallel...
2026-03-02 18:35:14,047 | INFO     | soap_generator | process_single_entity_async:829 |    📍 Route Classification: dual_sync
2026-03-02 18:35:14,048 | INFO     | soap_generator | process_single_entity_async:830 |    📝 Normalized name: 'exotic pump' (from span_text: 'exotic pump')
2026-03-02 18:35:14,048 | INFO     | soap_generator | process_entity_by_route_async:1605 |   📦 Batch intent (default): using search_term 'Easotic ear drops'
2026-03-02 18:35:14,048 | INFO     | soap_generator | read_optional_file:1239 | Protocols template not provided (path is None)
2026-03-02 18:35:14,048 | INFO     | soap_generator | read_optional_file:1239 | Pre-appointment summary not provided (path is None)
2026-03-02 18:35:14,048 | INFO     | soap_generator | read_optional_file:1239 | Vitals template not provided (path is None)
2026-03-02 18:35:14,048 | INFO     | soap_generator | process_entity_by_route_async:1659 |   🔍 Starting LOCAL-ONLY search (local inventory + local services)
2026-03-02 18:35:14,049 | INFO     | soap_generator | process_entity_by_route_async:1660 |      Search term: 'Easotic ear drops' (ASR-corrected: True)
2026-03-02 18:35:14,049 | DEBUG    | soap_generator | _ground_one:4125 |    🔍 Grounding entity 7: 'Cefpet syrup 3ml'
2026-03-02 18:35:14,049 | INFO     | soap_generator | process_single_entity_async:708 | 🔍 [ASYNC] PROCESSING ENTITY 7/8: 'Cefpet syrup 3ml'
2026-03-02 18:35:14,049 | INFO     | soap_generator | process_transcription:2851 | Generating SOAP note...
2026-03-02 18:35:14,049 | INFO     | soap_generator | process_single_entity_async:709 |    Kind: Medication, KB Kind: Medication, Source: N/A
2026-03-02 18:35:14,049 | INFO     | soap_generator | process_transcription:2852 | Conversation length being sent to LLM: 624 characters
2026-03-02 18:35:14,049 | INFO     | soap_generator | process_single_entity_async:829 |    📍 Route Classification: dual_sync
2026-03-02 18:35:14,049 | INFO     | soap_generator | process_transcription:2853 | Estimated conversation tokens: 156 tokens
2026-03-02 18:35:14,049 | INFO     | soap_generator | process_single_entity_async:830 |    📝 Normalized name: 'Cefpet syrup 3ml' (from span_text: 'Cefpet syrup 3ml')
2026-03-02 18:35:14,049 | INFO     | soap_generator | generate_soap_note:2137 | 🕐 Starting SOAP note generation at 18:35:14
2026-03-02 18:35:14,049 | INFO     | soap_generator | process_entity_by_route_async:1605 |   📦 Batch intent (default): using search_term 'Cefpodoxime Syrup'
2026-03-02 18:35:14,050 | INFO     | soap_generator | generate_soap_note:2165 | 📊 Transcript tokens (prompt): ~156
2026-03-02 18:35:14,050 | INFO     | soap_generator | process_entity_by_route_async:1659 |   🔍 Starting LOCAL-ONLY search (local inventory + local services)
2026-03-02 18:35:14,050 | INFO     | soap_generator | generate_soap_note:2166 | 📊 Dynamic max_tokens: 2000 (min: 2000, max: 6000)
2026-03-02 18:35:14,050 | INFO     | soap_generator | process_entity_by_route_async:1660 |      Search term: 'Cefpodoxime Syrup' (ASR-corrected: True)
2026-03-02 18:35:14,050 | INFO     | soap_generator | generate_soap_note:2212 | Sending request to OpenAI (attempt 1/2)
2026-03-02 18:35:14,050 | DEBUG    | soap_generator | _ground_one:4125 |    🔍 Grounding entity 8: 'ear swab for culture and sensitivity'
2026-03-02 18:35:14,050 | INFO     | soap_generator | process_single_entity_async:708 | 🔍 [ASYNC] PROCESSING ENTITY 8/8: 'ear swab for culture and sensitivity'
2026-03-02 18:35:14,051 | INFO     | soap_generator | process_single_entity_async:709 |    Kind: Diagnostic, KB Kind: Diagnostic, Source: N/A
2026-03-02 18:35:14,051 | DEBUG    | soap_generator | get_client_for_model:375 | 🔍 Model 'gpt-4.1-nano' → Provider: openai
2026-03-02 18:35:14,054 | INFO     | soap_generator | get_client_for_model:401 | ✅ Created OpenAI client for 'gpt-4.1-nano' (OpenAI endpoint, key: sk-proj-xK...)
2026-03-02 18:35:14,055 | INFO     | soap_generator | get_client_for_model:401 | ✅ Created OpenAI client for 'gpt-4.1-nano' (OpenAI endpoint, key: sk-proj-xK...)
2026-03-02 18:35:14,055 | DEBUG    | soap_generator | get_client_for_model:403 |    Client base_url: https://api.openai.com/v1/
2026-03-02 18:35:14,055 | DEBUG    | soap_generator | get_client_for_model:403 |    Client base_url: https://api.openai.com/v1/
2026-03-02 18:35:14,056 | INFO     | soap_generator | get_client_for_model:401 | ✅ Created OpenAI client for 'gpt-4.1-nano' (OpenAI endpoint, key: sk-proj-xK...)
2026-03-02 18:35:14,057 | DEBUG    | soap_generator | get_client_for_model:403 |    Client base_url: https://api.openai.com/v1/
2026-03-02 18:35:14,060 | INFO     | soap_generator | get_client_for_model:401 | ✅ Created OpenAI client for 'gpt-4.1-nano' (OpenAI endpoint, key: sk-proj-xK...)
2026-03-02 18:35:14,060 | DEBUG    | soap_generator | _resolve_embedding_client:329 | ✅ Created OpenAI embedding client (key starts with: sk-proj-xK...)
2026-03-02 18:35:14,060 | DEBUG    | soap_generator | get_client_for_model:403 |    Client base_url: https://api.openai.com/v1/
2026-03-02 18:35:14,068 | DEBUG    | soap_generator | _resolve_embedding_client:329 | ✅ Created OpenAI embedding client (key starts with: sk-proj-xK...)
2026-03-02 18:35:14,072 | DEBUG    | soap_generator | _resolve_embedding_client:329 | ✅ Created OpenAI embedding client (key starts with: sk-proj-xK...)
2026-03-02 18:35:14,077 | DEBUG    | soap_generator | _resolve_embedding_client:329 | ✅ Created OpenAI embedding client (key starts with: sk-proj-xK...)
2026-03-02 18:35:16,462 | DEBUG    | soap_generator | search_local_services_topk:1235 |   📊 Vector embedding used for service 'Easotic ear drops' (cached or precomputed)
2026-03-02 18:35:16,466 | INFO     | soap_generator | process_single_entity_async:829 |    📍 Route Classification: dual_sync
2026-03-02 18:35:16,466 | INFO     | soap_generator | process_single_entity_async:830 |    📝 Normalized name: 'ear swab for culture and sensitivity' (from span_text: 'ear swab for culture and sensitivity')
